"mixed"|"22426926"|"17687463"
"mixed"|"22426928"|"17687465"
"mixed"|"22426876"|"17687414"
"mixed"|"22426877"|"17687415"
"siliceous"|"22426878"|"17687416"
"siliceous"|"22426879"|"17687417"
"mixed"|"22426880"|"17687418"
"mixed"|"22426881"|"17687419"
"mixed"|"22426882"|"17687420"
"mixed"|"22426929"|"17687466"
"mixed"|"22426930"|"17687467"
"mixed"|"22426931"|"17687468"
"siliceous"|"22426951"|"17687486"
"siliceous"|"22426913"|"17687450"
"siliceous"|"22426932"|"17687469"
"siliceous"|"22426933"|"17687470"
"siliceous"|"22426883"|"17687421"
"siliceous"|"22426884"|"17687422"
"siliceous"|"22426885"|"17687423"
"siliceous"|"22426886"|"17687424"
"mixed"|"22426887"|"17687425"
"siliceous"|"22426888"|"17687426"
"siliceous"|"22426889"|"17687427"
"mixed"|"22426890"|"17687428"
"mixed"|"22426891"|"17687429"
"mixed"|"22426892"|"17687430"
"mixed"|"22426893"|"17687431"
"mixed"|"22426894"|"17687432"
"siliceous"|"22426934"|"17687471"
"siliceous"|"22426914"|"17687451"
"siliceous"|"22426915"|"17687452"
"mixed"|"22426946"|"17687481"
"mixed"|"22426947"|"17687482"
"mixed"|"22426948"|"17687483"
"siliceous"|"22426935"|"17687472"
"siliceous"|"22426916"|"17687453"
"mixed"|"22426917"|"17687454"
"mixed"|"22426918"|"17687455"
"mixed"|"22426919"|"17687456"
"mixed"|"22426936"|"17687473"
"mixed"|"22426867"|"17687406"
"mixed"|"22426868"|"17687407"
"mixed"|"22426869"|"17687408"
"mixed"|"22426870"|"17687409"
"kaolinitic"|"22426871"|"17687410"
"mixed"|"22426872"|"17687411"
"mixed"|"22426937"|"17687474"
"mixed"|"22426938"|"17687475"
"mixed"|"22426920"|"17687457"
"mixed"|"22426921"|"17687458"
"mixed"|"22426922"|"17687459"
"mixed"|"22426939"|"17687476"
"siliceous"|"22426940"|"17687477"
"siliceous"|"22426952"|"17687487"
"siliceous"|"22426953"|"17687488"
"siliceous"|"22426901"|"17687439"
"mixed"|"22426902"|"17687440"
"mixed"|"22426903"|"17687441"
"mixed"|"22426904"|"17687442"
"mixed"|"22426895"|"17687433"
"siliceous"|"22426896"|"17687434"
"mixed"|"22426897"|"17687435"
"mixed"|"22426898"|"17687436"
"mixed"|"22426899"|"17687437"
"mixed"|"22426900"|"17687438"
"siliceous"|"22426923"|"17687460"
"siliceous"|"22426941"|"17687478"
"not used"|"22426924"|"17687461"
"mixed"|"22426925"|"17687462"
"not used"|"22426942"|"17687479"
"mixed"|"22426944"|"17687480"
"siliceous"|"22426874"|"17687412"
"mixed"|"22426875"|"17687413"
"mixed"|"22426905"|"17687443"
"mixed"|"22426906"|"17687444"
"mixed"|"22426908"|"17687445"
"siliceous"|"22426909"|"17687446"
"mixed"|"22426910"|"17687447"
"mixed"|"22426911"|"17687448"
"mixed"|"22426912"|"17687449"
"mixed"|"22426949"|"17687484"
"mixed"|"22426927"|"17687464"
"mixed"|"22426950"|"17687485"
