"2"|"22426868"|"5033607"
"2"|"22426869"|"5033551"
"2"|"22426870"|"5033569"
"2"|"22426875"|"5033614"
"2"|"22426881"|"5033606"
"2"|"22426883"|"5033588"
"3"|"22426883"|"5033589"
"4"|"22426883"|"5033590"
"2"|"22426885"|"5033591"
"3"|"22426885"|"5033592"
"4"|"22426885"|"5033593"
"2"|"22426887"|"5033610"
"2"|"22426889"|"5033545"
"3"|"22426889"|"5033546"
"4"|"22426889"|"5033547"
"2"|"22426890"|"5033575"
"3"|"22426890"|"5033576"
"2"|"22426891"|"5033563"
"2"|"22426892"|"5033605"
"3"|"22426892"|"5033603"
"4"|"22426892"|"5033604"
"2"|"22426893"|"5033568"
"2"|"22426894"|"5033557"
"3"|"22426894"|"5033558"
"2"|"22426898"|"5033609"
"2"|"22426899"|"5033565"
"2"|"22426900"|"5033552"
"2"|"22426901"|"5033579"
"3"|"22426901"|"5033580"
"4"|"22426901"|"5033581"
"2"|"22426902"|"5033539"
"3"|"22426902"|"5033540"
"2"|"22426903"|"5033597"
"3"|"22426903"|"5033598"
"4"|"22426903"|"5033599"
"2"|"22426904"|"5033571"
"3"|"22426904"|"5033572"
"2"|"22426905"|"5033553"
"3"|"22426905"|"5033554"
"2"|"22426906"|"5033573"
"3"|"22426906"|"5033574"
"2"|"22426908"|"5033541"
"2"|"22426909"|"5033582"
"3"|"22426909"|"5033583"
"4"|"22426909"|"5033584"
"2"|"22426910"|"5033555"
"3"|"22426910"|"5033556"
"2"|"22426911"|"5033600"
"3"|"22426911"|"5033601"
"4"|"22426911"|"5033602"
"2"|"22426912"|"5033542"
"3"|"22426912"|"5033543"
"2"|"22426916"|"5033594"
"3"|"22426916"|"5033595"
"4"|"22426916"|"5033596"
"2"|"22426917"|"5033577"
"3"|"22426917"|"5033578"
"2"|"22426918"|"5033548"
"3"|"22426918"|"5033549"
"4"|"22426918"|"5033550"
"2"|"22426919"|"5033559"
"3"|"22426919"|"5033560"
"2"|"22426921"|"5033564"
"2"|"22426922"|"5033570"
"2"|"22426925"|"5033612"
"2"|"22426930"|"5033567"
"2"|"22426931"|"5033562"
"2"|"22426932"|"5033585"
"3"|"22426932"|"5033586"
"4"|"22426932"|"5033587"
"2"|"22426938"|"5033608"
"2"|"22426939"|"5033611"
"2"|"22426944"|"5033613"
"2"|"22426946"|"5033561"
"2"|"22426947"|"5033566"
"2"|"22426950"|"5033544"
"2"|"22426952"|"5033615"
