||"Tread"||"35049397"|"13505578"
||"Tread"||"35049449"|"13505630"
||"Tread"||"35049471"|"13505652"
||"Tread"||"35049469"|"13505650"
||"Tread"||"35049410"|"13505591"
||"Tread"||"35049462"|"13505643"
||"Tread"||"35049473"|"13505654"
||"Riser"||"35049460"|"13505641"
||"Tread"||"35049421"|"13505602"
||"Tread"||"35049399"|"13505580"
||"Tread"||"35049408"|"13505589"
||"Tread"||"35049398"|"13505579"
||"Tread"||"35049419"|"13505600"
||"Tread"||"35049461"|"13505642"
||"Tread"||"35049440"|"13505621"
||"Tread"||"35049441"|"13505622"
||"Tread"||"35049439"|"13505620"
||"Tread"||"35049429"|"13505610"
||"Tread"||"35049430"|"13505611"
||"Tread"||"35049450"|"13505631"
||"Tread"||"35049451"|"13505632"
||"Tread"||"35049426"|"13505607"
||"Tread"||"35049459"|"13505640"
||"Tread"||"35049418"|"13505599"
||"Tread"||"35049407"|"13505588"
||"Tread"||"35049444"|"13505625"
||"Tread"||"35049470"|"13505651"
||"Tread"||"35049415"|"13505596"
||"Tread"||"35049400"|"13505581"
||"Tread"||"35049422"|"13505603"
||"Tread"||"35049396"|"13505577"
||"Tread"||"35049433"|"13505614"
||"Tread"||"35049455"|"13505636"
||"Tread"||"35049437"|"13505618"
||"Tread"||"35049463"|"13505644"
||"Riser"||"35049411"|"13505592"
||"Tread"||"35049448"|"13505629"
||"Tread"||"35049452"|"13505633"
||"Tread"||"35049474"|"13505655"
||"Tread"||"35049454"|"13505635"
||"Tread"||"35049425"|"13505606"
||"Tread"||"35049423"|"13505604"
||"Tread"||"35049458"|"13505639"
||"Tread"||"35049436"|"13505617"
||"Tread"||"35049434"|"13505615"
||"Tread"||"35049445"|"13505626"
||"Tread"||"35049465"|"13505646"
||"Tread"||"35049447"|"13505628"
||"Tread"||"35049467"|"13505648"
||"Tread"||"35049412"|"13505593"
||"Tread"||"35049414"|"13505595"
|||"Dip"|"35049476"|"13505657"
||"Tread"||"35049456"|"13505637"
||"Tread"||"35049403"|"13505584"
||"Tread"||"35049424"|"13505605"
||"Tread"||"35049404"|"13505585"
||"Tread"|"Rise"|"35049477"|"13505659"
||"Tread"||"35049466"|"13505647"
||"Tread"||"35049472"|"13505653"
||"Riser"|"Rise"|"35049394"|"13505658"
||"Tread"||"35049420"|"13505601"
||"Tread"||"35049431"|"13505612"
||"Tread"||"35049468"|"13505649"
||"Riser"||"35049413"|"13505594"
||"Tread"||"35049402"|"13505583"
||"Tread"||"35049457"|"13505638"
||"Tread"||"35049446"|"13505627"
||"Tread"||"35049435"|"13505616"
||"Tread"||"35049409"|"13505590"
||"Tread"||"35049443"|"13505624"
||"Tread"||"35049453"|"13505634"
||"Tread"||"35049475"|"13505656"
||"Tread"||"35049395"|"13505576"
||"Tread"||"35049464"|"13505645"
||"Tread"||"35049427"|"13505608"
||"Tread"||"35049401"|"13505582"
||"Tread"||"35049432"|"13505613"
||"Tread"||"35049406"|"13505587"
||"Tread"||"35049405"|"13505586"
||"Tread"||"35049416"|"13505597"
||"Tread"||"35049428"|"13505609"
||"Tread"||"35049417"|"13505598"
||"Tread"||"35049438"|"13505619"
||"Tread"||"35049442"|"13505623"
