253|"510786"|"120794"|"30449014"
1582|"510787"|"120794"|"30449060"
748|"510786"|"120795"|"30449015"
129|"510787"|"120795"|"30449061"
795|"510786"|"120796"|"30449016"
65|"510787"|"120796"|"30449062"
192|"510786"|"120797"|"30449017"
26|"510787"|"120797"|"30449063"
15475|"510786"|"120798"|"30449018"
6797|"510787"|"120798"|"30449064"
586|"510786"|"120799"|"30449019"
246|"510787"|"120799"|"30449065"
230|"510786"|"120800"|"30449020"
1608|"510787"|"120800"|"30449066"
3116|"510786"|"120801"|"30449021"
1361|"510787"|"120801"|"30449067"
626|"510786"|"120802"|"30449022"
104|"510787"|"120802"|"30449068"
2930|"510786"|"120803"|"30449023"
840|"510787"|"120803"|"30449069"
8515|"510786"|"120804"|"30449024"
1945|"510787"|"120804"|"30449070"
12187|"510786"|"120805"|"30449025"
4993|"510787"|"120805"|"30449071"
157|"510786"|"120806"|"30449026"
2272|"510787"|"120806"|"30449072"
4553|"510786"|"120807"|"30449027"
1224|"510787"|"120807"|"30449073"
1655|"510786"|"120808"|"30449028"
326|"510787"|"120808"|"30449074"
6374|"510786"|"120809"|"30449029"
1561|"510787"|"120809"|"30449075"
287|"510786"|"120810"|"30449030"
981|"510787"|"120810"|"30449076"
920|"510786"|"120811"|"30449031"
104|"510787"|"120811"|"30449077"
3005|"510786"|"120812"|"30449032"
114|"510787"|"120812"|"30449078"
104|"510786"|"120813"|"30449033"
111|"510787"|"120813"|"30449079"
1567|"510786"|"120814"|"30449034"
196|"510787"|"120814"|"30449080"
156|"510786"|"120815"|"30449035"
761|"510787"|"120815"|"30449081"
458|"510786"|"120816"|"30449036"
14|"510787"|"120816"|"30449082"
661|"510786"|"120817"|"30449037"
323|"510787"|"120817"|"30449083"
4243|"510786"|"120818"|"30449038"
529|"510787"|"120818"|"30449084"
606|"510786"|"120819"|"30449039"
612|"510787"|"120819"|"30449085"
1510|"510786"|"120820"|"30449040"
1427|"510787"|"120820"|"30449086"
4753|"510786"|"120821"|"30449059"
4931|"510787"|"120821"|"30449105"
4|"510786"|"120822"|"30449041"
772|"510787"|"120822"|"30449087"
358|"510786"|"120823"|"30449042"
|"510787"|"120823"|"30449088"
3043|"510786"|"120824"|"30449043"
510|"510787"|"120824"|"30449089"
410|"510786"|"120825"|"30449044"
40|"510787"|"120825"|"30449090"
120|"510786"|"120826"|"30449045"
1079|"510786"|"120827"|"30449046"
102|"510786"|"120828"|"30449047"
6|"510787"|"120828"|"30449093"
|"510788"|"120828"|"30449139"
108|"510789"|"120828"|"30449170"
104|"510791"|"120828"|"30449232"
104|"510792"|"120828"|"30449278"
102|"510794"|"120828"|"30449361"
|"510795"|"120828"|"30449407"
6|"510796"|"120828"|"30449453"
104|"510797"|"120828"|"30449499"
709|"510786"|"120829"|"30449048"
1840|"510787"|"120829"|"30449094"
|"510788"|"120829"|"30449140"
2549|"510789"|"120829"|"30449171"
3822|"510791"|"120829"|"30449233"
3822|"510792"|"120829"|"30449279"
|"510793"|"120829"|"30449319"
709|"510794"|"120829"|"30449362"
|"510795"|"120829"|"30449408"
1840|"510796"|"120829"|"30449454"
3822|"510797"|"120829"|"30449500"
