"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426530"|"93528645"
"SMILA2"|"Smilax"|"greenbrier"|||"22426530"|"93528646"
"VACCI"|"Vaccinium"|"blueberry"|||"22426530"|"93528647"
"ARGI"|"Arundinaria gigantea"|"giant cane"|||"22426531"|"93528648"
"ILGL"|"Ilex glabra"|"inkberry"|||"22426531"|"93528649"
"SMILA2"|"Smilax"|"greenbrier"|||"22426531"|"93528650"
"VAAT"|"Vaccinium atrococcum"|"downy blueberry"|||"22426531"|"93528651"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426532"|"93528652"
"ILOP"|"Ilex opaca"|"American holly"|||"22426532"|"93528653"
"SMILA2"|"Smilax"|"greenbrier"|||"22426532"|"93528654"
"VACCI"|"Vaccinium"|"blueberry"|||"22426532"|"93528655"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426535"|"93528656"
"ILOP"|"Ilex opaca"|"American holly"|||"22426535"|"93528657"
"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426535"|"93528658"
"VACCI"|"Vaccinium"|"blueberry"|||"22426535"|"93528659"
"ARGI"|"Arundinaria gigantea"|"giant cane"|||"22426536"|"93528660"
"ILGL"|"Ilex glabra"|"inkberry"|||"22426536"|"93528661"
"SMILA2"|"Smilax"|"greenbrier"|||"22426536"|"93528662"
"VAAT"|"Vaccinium atrococcum"|"downy blueberry"|||"22426536"|"93528663"
"ARGI"|"Arundinaria gigantea"|"giant cane"|||"22426537"|"93528664"
"ILGL"|"Ilex glabra"|"inkberry"|||"22426537"|"93528665"
"SMILA2"|"Smilax"|"greenbrier"|||"22426537"|"93528666"
"VAAT"|"Vaccinium atrococcum"|"downy blueberry"|||"22426537"|"93528667"
"ACRU"|"Acer rubrum"|"red maple"|||"22426538"|"93528668"
"ILOP"|"Ilex opaca"|"American holly"|||"22426538"|"93528669"
"MOCE2"|"Morella cerifera"|"wax myrtle"|||"22426538"|"93528670"
"SANI"|"Salix nigra"|"black willow"|||"22426538"|"93528671"
"SMILA2"|"Smilax"|"greenbrier"|||"22426538"|"93528672"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426539"|"93528673"
"ILOP"|"Ilex opaca"|"American holly"|||"22426539"|"93528674"
"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426539"|"93528675"
"SMILA2"|"Smilax"|"greenbrier"|||"22426539"|"93528676"
"VACCI"|"Vaccinium"|"blueberry"|||"22426539"|"93528677"
"ARGI"|"Arundinaria gigantea"|"giant cane"|||"22426509"|"93528555"
"ILGL"|"Ilex glabra"|"inkberry"|||"22426509"|"93528556"
"SMILA2"|"Smilax"|"greenbrier"|||"22426509"|"93528557"
