||"Tread"||"35048470"|"13505029"
||"Tread"||"35048492"|"13505050"
||"Tread"||"35048469"|"13505028"
||"Tread"||"35048459"|"13505018"
||"Tread"||"35048503"|"13505061"
||"Tread"||"35048481"|"13505039"
||"Tread"||"35048448"|"13505007"
||"Tread"||"35048460"|"13505019"
||"Tread"||"35048490"|"13505048"
||"Tread"||"35048510"|"13505068"
||"Tread"||"35048449"|"13505008"
||"Tread"||"35048480"|"13505038"
||"Tread"||"35048499"|"13505057"
||"Tread"||"35048512"|"13505070"
||"Tread"||"35048501"|"13505059"
||"Tread"||"35048491"|"13505049"
||"Tread"||"35048451"|"13505010"
||"Tread"||"35048471"|"13505030"
||"Tread"||"35048479"|"13505037"
||"Tread"||"35048513"|"13505071"
||"Tread"||"35048487"|"13505045"
||"Tread"||"35048458"|"13505017"
||"Tread"||"35048446"|"13505005"
||"Tread"||"35048457"|"13505016"
||"Tread"||"35048468"|"13505027"
||"Tread"||"35048447"|"13505006"
||"Tread"||"35048472"|"13505031"
||"Tread"||"35048473"|"13505032"
||"Tread"||"35048502"|"13505060"
||"Tread"||"35048498"|"13505056"
||"Riser"||"35048462"|"13505021"
||"Tread"||"35048483"|"13505041"
||"Tread"||"35048465"|"13505024"
||"Tread"||"35048509"|"13505067"
||"Tread"||"35048443"|"13505002"
||"Tread"||"35048450"|"13505009"
||"Riser"||"35048461"|"13505020"
||"Tread"||"35048505"|"13505063"
||"Tread"||"35048516"|"13505074"
||"Tread"|"Rise"|"35048495"|"13505053"
||"Tread"||"35048497"|"13505055"
||"Tread"||"35048484"|"13505042"
||"Tread"||"35048508"|"13505066"
||"Tread"||"35048444"|"13505003"
||"Tread"||"35048486"|"13505044"
||"Tread"||"35048475"|"13505034"
||"Tread"||"35048488"|"13505046"
||"Tread"||"35048454"|"13505013"
||"Tread"||"35048464"|"13505023"
|||"Dip"|"35048496"|"13505054"
||"Tread"||"35048477"|"13505035"
||"Tread"||"35048506"|"13505064"
||"Tread"||"35048442"|"13505001"
||"Tread"||"35048455"|"13505014"
||"Tread"||"35048507"|"13505065"
||"Tread"||"35048517"|"13505075"
||"Tread"||"35048466"|"13505025"
||"Tread"||"35048453"|"13505012"
||"Tread"||"35048500"|"13505058"
||"Tread"||"35048482"|"13505040"
||"Tread"||"35048456"|"13505015"
||"Tread"||"35048485"|"13505043"
||"Tread"||"35048467"|"13505026"
||"Tread"||"35048478"|"13505036"
||"Tread"||"35048489"|"13505047"
||"Tread"||"35048511"|"13505069"
||"Tread"||"35048504"|"13505062"
||"Tread"||"35048463"|"13505022"
||"Tread"||"35048452"|"13505011"
||"Tread"||"35048514"|"13505072"
||"Tread"||"35048515"|"13505073"
||"Tread"||"35048445"|"13505004"
||"Tread"||"35048474"|"13505033"
||"Riser"|"Rise"|"35048419"|"13505052"
||"Tread"||"35048493"|"13505051"
