"2"|"22224703"|"4991353"
"4"|"22224704"|"4991356"
"3"|"22224704"|"4991355"
"2"|"22224704"|"4991354"
"2"|"22224705"|"4991358"
"3"|"22224705"|"4991357"
"2"|"22224706"|"4991360"
"3"|"22224706"|"4991359"
"2"|"22224709"|"4991361"
"2"|"22224710"|"4991363"
"3"|"22224710"|"4991362"
"2"|"22224711"|"4991364"
"2"|"22224714"|"4991365"
"2"|"22224716"|"4991366"
"2"|"22224720"|"4991367"
"2"|"22224721"|"4991368"
"3"|"22224724"|"4991370"
"2"|"22224724"|"4991369"
"4"|"22224725"|"4991373"
"3"|"22224725"|"4991372"
"2"|"22224725"|"4991371"
"3"|"22224726"|"4991375"
"2"|"22224726"|"4991374"
"2"|"22224727"|"4991377"
"3"|"22224727"|"4991376"
"2"|"22224730"|"4991378"
"2"|"22224734"|"4991379"
"2"|"22224738"|"4991380"
"2"|"22224740"|"4991381"
"2"|"22224745"|"4991382"
"2"|"22224746"|"4991383"
"2"|"22224750"|"4991385"
"3"|"22224750"|"4991384"
"2"|"22224751"|"4991387"
"3"|"22224751"|"4991386"
"2"|"22224754"|"4991388"
"2"|"22224755"|"4991389"
"4"|"22224756"|"4991392"
"3"|"22224756"|"4991391"
"2"|"22224756"|"4991390"
"2"|"22224757"|"4991393"
"2"|"22224758"|"4991394"
"2"|"22224759"|"4991396"
"3"|"22224759"|"4991395"
"2"|"22224760"|"4991398"
"3"|"22224760"|"4991397"
"2"|"22224763"|"4991399"
"2"|"22224764"|"4991400"
"2"|"22224767"|"4991401"
"2"|"22224768"|"4991402"
"2"|"22224771"|"4991403"
"4"|"22224773"|"4991406"
"3"|"22224773"|"4991405"
"2"|"22224773"|"4991404"
"2"|"22224774"|"4991407"
"2"|"22224775"|"4991408"
"3"|"22224776"|"4991411"
"4"|"22224776"|"4991410"
"2"|"22224776"|"4991409"
"2"|"22224783"|"4991412"
