273|"505508"|"122425"|"30138608"
|"505507"|"122427"|"30138615"
341|"505508"|"122427"|"30138614"
2292|"505507"|"122428"|"30138621"
494|"505507"|"122429"|"30138627"
|"505508"|"122429"|"30138626"
|"505507"|"122431"|"30138633"
2443|"505508"|"122431"|"30138632"
|"505507"|"122432"|"30138639"
1442|"505508"|"122432"|"30138638"
44|"505507"|"122434"|"30138645"
80|"505508"|"122434"|"30138644"
|"505507"|"122436"|"30138651"
18|"505508"|"122436"|"30138650"
8749|"505507"|"122438"|"30138657"
6201|"505508"|"122438"|"30138656"
|"505507"|"122439"|"30138663"
117|"505508"|"122439"|"30138662"
3983|"505507"|"122440"|"30138669"
2499|"505508"|"122440"|"30138668"
2385|"505507"|"122442"|"30138675"
2607|"505508"|"122442"|"30138674"
|"505507"|"122444"|"30138681"
468|"505508"|"122444"|"30138680"
854|"505507"|"122447"|"30138687"
79|"505507"|"122457"|"30138693"
1|"505511"|"122457"|"30138696"
192|"505513"|"122457"|"30138695"
192|"505517"|"122457"|"30138694"
|"505507"|"122458"|"30138699"
1586|"505508"|"122458"|"30138698"
|"505509"|"122458"|"30138697"
|"505510"|"122458"|"30138538"
413|"505511"|"122458"|"30138702"
1999|"505512"|"122458"|"30138701"
1999|"505517"|"122458"|"30138700"
1201|"505507"|"122459"|"30138705"
759|"505508"|"122459"|"30138704"
756|"505509"|"122459"|"30138703"
449|"505510"|"122459"|"30138539"
146|"505511"|"122459"|"30138708"
3312|"505513"|"122459"|"30138707"
3312|"505517"|"122459"|"30138706"
196|"505507"|"122460"|"30138711"
148|"505508"|"122460"|"30138710"
17|"505509"|"122460"|"30138709"
|"505510"|"122460"|"30138540"
|"505511"|"122460"|"30138714"
361|"505513"|"122460"|"30138713"
361|"505517"|"122460"|"30138712"
3581|"505507"|"122461"|"30138717"
4751|"505508"|"122461"|"30138716"
|"505509"|"122461"|"30138715"
35|"505510"|"122461"|"30138541"
|"505511"|"122461"|"30138721"
4184|"505512"|"122461"|"30138720"
4182|"505513"|"122461"|"30138719"
8367|"505517"|"122461"|"30138718"
|"505510"|"122457"|"30138537"
113|"505509"|"122457"|"30138691"
|"505508"|"122457"|"30138692"
5292|"505517"|"122447"|"30138688"
5292|"505513"|"122447"|"30138689"
1|"505511"|"122447"|"30138690"
4368|"505510"|"122447"|"30138536"
|"505509"|"122447"|"30138685"
68|"505508"|"122447"|"30138686"
468|"505517"|"122444"|"30138682"
468|"505512"|"122444"|"30138683"
|"505511"|"122444"|"30138684"
|"505510"|"122444"|"30138535"
|"505509"|"122444"|"30138679"
13586|"505517"|"122442"|"30138676"
13586|"505513"|"122442"|"30138677"
3622|"505511"|"122442"|"30138678"
18|"505510"|"122442"|"30138534"
4954|"505509"|"122442"|"30138673"
16151|"505517"|"122440"|"30138670"
16151|"505513"|"122440"|"30138671"
|"505511"|"122440"|"30138672"
303|"505510"|"122440"|"30138533"
9366|"505509"|"122440"|"30138667"
117|"505517"|"122439"|"30138664"
117|"505512"|"122439"|"30138665"
|"505511"|"122439"|"30138666"
|"505510"|"122439"|"30138532"
